题号,题型,题目,选项A,选项B,选项C,选项D,选项E,答案
181,单项选择题,下列哪项不属于中医内科常见疾病的诊断要点（ ）,临床表现与体征的辨析,脉象的变化,病人的饮食习惯偏好,生化检查结果分析,,D
182,单项选择题,下列哪项不属于中医食疗的基本原则（ ）,因人施食,因时施食,因病施食,随意施食,,D
183,单项选择题,下列哪项是中医治疗原则中的“标本兼治”（ ）,治病求本,预防为主,攻补兼施,顺其自然,,C
184,单项选择题,下列哪一项不是脾胃虚弱证的主要临床表现（ ）,食欲不振,腹胀便溏,疲乏无力,口干舌燥,,D
185,单项选择题,下列哪一项不属于中医诊断的基本原则（ ）,整体观念,辨证论治,因地制宜,望闻问切,,C
186,单项选择题,下列哪种疾病不属于中医“五脏六腑”理论中的范畴（ ）,心,肝,肺,肾,,D
187,单项选择题,下列哪种情况不属于中医全科医学的常见病症（ ）,咳嗽,腹泻,高血压,心脏病,,D
188,单项选择题,下列哪种情况不属于中医治疗中的“实则泻之”原则（ ）,热病发热,寒病发热,痰湿阻滞,阳虚水肿,,D
189,单项选择题,下列炮制方法，可降低毒性的是（ ）,醋制延胡索,盐炒杜仲,醋制甘遂,醋制香附,,C
190,单项选择题,下列属于脾肾亏虚的目态是（ ）,目睛凝视,瞳孔散大,瞳孔缩小,胞睑下垂,,D
191,单项选择题,下列泻下剂组成中不含有大黄的是（ ）,黄龙汤,济川煎,调胃承气汤,麻子仁丸,,B
192,单项选择题,下列选项中属于“用寒远寒”治疗法则的是（ ）,阳虚证慎用寒凉药物,真寒假热证慎用寒凉药物,真热假寒证慎用寒凉药物,寒冬季节慎用寒凉药物,,D
193,单项选择题,下列药物中，不具有行气，止痛功效的药物是（ ）,郁金,白前,三棱,姜黄,,B
194,单项选择题,下列药物中具有养阴润肺，益胃生津，清心除烦功效的是（ ）,石斛,生地,麦冬,黄精,,C
195,单项选择题,下列药物中均具有补肝肾、强筋骨、安胎之功的是（ ）,鹿茸、杜仲,杜仲、续断,鹿茸、补骨脂,杜仲、肉苁蓉,,B
196,单项选择题,下列药物中均能凉血止血、散瘀解毒消痈的药物是（ ）,小蓟、大蓟,地榆、槐花,三七、茜草,白及、蒲黄,,A
197,单项选择题,下列药物中为醒神回苏之要药的是（ ）,麝香,冰片,人参,苏合香,,A
198,单项选择题,下列与情志抑郁关系密切的是（ ）,肝失疏泄,肺气虚弱,肾精不足,脾失健运,,A
199,单项选择题,先天与后天相互资助指的是（ ）,肝与心的关系,肝与肾的关系,肺与脾的关系,肾与脾的关系,,D
200,单项选择题,逍遥散中的姜药是（ ）,生姜,干姜,良姜,煨姜,,D
201,单项选择题,小柴胡汤的组成是（ ）,柴胡、黄芩、干姜、人参、茯苓、甘草、大枣,柴胡、黄芩、半夏、枳实、干姜、人参、甘草,柴胡、黄芩、半夏、人参、炙甘草、生姜、大枣,柴胡、黄连、半夏、人参、甘草、生姜、大枣,,C
202,单项选择题,小柴胡汤主治证候中，兼见心下悸，小便不利，治宜（ ）,去半夏、人参，加瓜蒌,去半夏加天花粉,去黄芩，加芍药,去黄芩，加茯苓,,D
203,单项选择题,小青龙汤中配伍干姜、细辛的主要用意是（ ）,温肺散寒,温脾散寒,散寒解表,温肺化饮,,D
204,单项选择题,虚喘的治疗要点是（ ）,宣肺,化痰,补肺,培补摄纳,,D
205,单项选择题,血之府为（ ）,舌,脉,汗孔,目,,B
206,单项选择题,药味分阴阳，属阳是的（ ）,酸、苦、咸,辛、苦、咸,辛、甘、淡,甘、淡、涩,,C
207,单项选择题,药物组成中含有白术、茯苓的方剂是（ ）,五苓散,猪苓汤,小建中汤,天王补心丹,,A
208,单项选择题,夜热早凉，热退无汗，舌红苔少，脉细数。治疗宜选用的方剂是（ ）,清营汤,黄连解毒汤,犀角地黄汤,青蒿鳖甲汤,,D
209,单项选择题,一贯煎的功用是（ ）,滋阴补肾,滋阴疏肝,清胃滋阴,养血疏肝,,B
210,单项选择题,一名 45 岁的女性患者，长期感到疲乏无力，食欲不振，并且面色萎黄，舌质淡胖边有,四君子汤,补中益气汤,归脾汤,六味地黄丸,,A
211,单项选择题,一位患有慢性胃炎的患者，平时常有上腹部不适，进食后加重，伴有嗳气、反酸症状。,肝气郁结,脾胃虚弱,胃阴不足,寒邪犯胃,,B
212,单项选择题,一位中年男性患者，因长期劳累过度，出现疲乏无力，食欲不振，面色萎黄，舌淡苔,肝阳上亢,心血不足,脾胃虚弱,肺气虚,,C
213,单项选择题,以化痰散饮，和胃降逆为主要功用的方剂是（ ）,旋覆代赭汤,理中丸,厚朴温中汤,小半夏汤,,D
214,单项选择题,以少气懒言，神疲乏力，自汗；面色淡白无华，舌质淡白，脉细无力为主要表现的证,气滞血瘀证,气虚血瘀证,气血两虚证,气不摄血证,,C
215,单项选择题,以下不是用炒法制成的是（ ）,大黄炭,地榆炭,荆芥炭,血余炭,,D
216,单项选择题,以下哪个选项不属于中医治疗原则中的“治未病”思想（ ）,预防为主,调整阴阳平衡,调和气血,疏通经络,,D
217,单项选择题,以下哪项不是中医基础理论的范畴（ ）,阴阳学说,五行学说,脏腑学说,经络学说,,D
218,单项选择题,以下哪项不属于中医诊断学中的“四诊”（ ）,望诊,闻诊,问诊,检查,,D
219,单项选择题,以下哪项不属于中医诊断中“望诊”的内容（ ）,望舌色,望面色,望舌苔,望脉象,,D
220,单项选择题,以下哪一项不是导致心绞痛的常见原因（ ）,冠状动脉痉挛,主动脉瓣狭窄,冠状动脉粥样硬化,主动脉瓣关闭不全,,D
221,单项选择题,以下哪种疾病不属于中医全科医学中的常见病（ ）,感冒,胃痛,肺炎,肝炎,,C
222,单项选择题,以下哪种情况不属于中医“气”的病机（ ）,气滞,气逆,气陷,气虚,,D
223,单项选择题,以下哪种情况不属于中医学中“辨证论治”的基本原则（ ）,辨证求因,证候归类,随证加减,以药代食,,D
224,单项选择题,以下哪种说法不属于中医养生保健的原则（ ）,饮食有节,起居有常,动静结合,过度劳累,,D
225,单项选择题,银翘散与桑菊饮组成中均含有的药物是（ ）,连翘、菊花,附子、细辛,桔梗、芦根,杏仁、芦根,,C
226,单项选择题,引起虚寒证的阴阳失调是（ ）,阳偏盛,阳偏衰,阴偏盛,阴偏衰,,B
227,单项选择题,有关针灸治疗蛇串疮，叙述不正确的是（ ）,出现的疱疹不能用三棱针点刺,后遗神经痛者可在局部用皮肤针叩刺,以局部阿是穴、相应夹脊穴为主,毫针刺，泻法，强刺激,,A
228,单项选择题,在奇经八脉中，下列与后溪相通的奇经是（ ）,督脉,阳维脉,阳跷脉,冲脉,,A
229,单项选择题,在全科医学中，关于高血压的管理，下列哪项描述是正确的（ ）,高血压患者应每年至少测量血压两次,一旦确诊为高血压，应立即开始药物治疗,对于所有高血压患者，无需进行生活方式干预,血压控制目标应根据患者的年龄、合并症及风险因素来决定,,D
230,单项选择题,在全科医学中，关于高血压的诊断标准，下列哪项是正确的（ ）,收缩压≥140mmHg 和/或舒张压≥90mmHg,收缩压≥130mmHg 和/或舒张压≥85mmHg,收缩压≥120mmHg 和/或舒张压≥80mmHg,收缩压≥150mmHg 和/或舒张压≥95mmHg,,A
231,单项选择题,在全科医学中，关于慢性病管理策略，以下哪一项不是常用的干预措施（ ）,定期随访,健康教育,指导患者自我管理,仅限于药物治疗,,D
232,单项选择题,在十二经脉走向中，足三阴是（ ）,从足走头,从手走头,从脏走手,从足走腹,,D
233,单项选择题,在中医理论中，“气”的主要功能不包括以下哪一项（ ）,推动作用,温煦作用,防御作用,生殖作用,,D
234,单项选择题,在中医理论中，对于心悸、失眠等症状，常选用的治疗方法包括（ ）,清热解毒,补益心脾,疏肝理气,活血化瘀,,B
235,单项选择题,在中医理论中，对于治疗心悸、失眠等症，常选用以下哪味药材进行调理（ ）,人参,麦冬,酸枣仁,黄芪,,C
236,单项选择题,在中医理论中，以下哪项不是导致疾病发生的外因（ ）,风寒,火邪,湿邪,情志内伤,,D
237,单项选择题,在中医全科医学中，以下哪项不是急性胰腺炎的主要临床表现（ ）,腹痛,恶心呕吐,发热,血糖升高,,D
238,单项选择题,在中医全科医学中，治疗肝阳上亢引起的头痛，首选的药物是（ ）,天麻,地龙,羚羊角,钩藤,,D
239,单项选择题,在中医学中，下列哪项属于“八纲辨证”中的“纲”（ ）,寒热,表里,阴阳,脏腑,,C
240,单项选择题,在中医治疗中，以下哪项不属于中医治疗的基本原则（ ）,治未病,病因论治,对症下药,调和气血,,C
241,单项选择题,在中医治疗中，针对久病体虚、精气不足的患者，常采用哪种治疗方法（ ）,清热解毒法,补益法,活血化瘀法,祛湿利水法,,B
242,单项选择题,真武汤中生姜的作用是（ ）,辛温发汗,温胃止呕,辛散水湿,调和营卫,,C
243,单项选择题,症见腹部冷痛，下利清谷，五更泄泻，水肿者，常为（ ）,肺胃两虚,脾胃同病,肝脾不和,脾肾俱病,,D
244,单项选择题,治疗耳鸣实证，应选取的主穴是（ ）,翳风、听会、侠溪、中渚、听宫,耳门、太溪、照海、听宫,翳风、侠溪、太冲、丘墟,听会、听宫、外关、合谷,,A
245,单项选择题,治疗目赤肿痛，除睛明，风池，太阳外，还应选取的主穴是（ ）,少商，外关,合谷，太冲,行间，侠溪,内庭，足临泣,,B
246,单项选择题,治疗妊娠呕恶、不思饮食、脘腹胀闷、胎动不安者，宜选用的药物是（ ）,生姜,厚朴,竹茹,砂仁,,D
247,单项选择题,治疗湿热泻痢，痔疮肿痛，宜选用（ ）,青蒿,胡黄连,牡丹皮,银柴胡,,B
248,单项选择题,治疗血瘀痛经，常与五灵脂配伍的药物是（ ）,郁金,白芍,赤芍,蒲黄,,D
249,单项选择题,治疗瘾疹可采用拔罐法，常用的腧穴是（ ）,血海,膈腧,神阙,风门,,C
250,单项选择题,治疗右上腹痛，阵发性加剧，并向右肩部放射，伴有恶心、呕吐，针灸取穴除阳陵泉、,胆囊穴、日月、期门,阑尾穴、中脘、足三里,胆囊穴、日月、京门,阑尾穴、中脘、天枢,,A
251,单项选择题,治肾虚骨痿，小儿囟门不合，齿迟行迟，宜选（ ）,熟地黄,白芍,龟甲,鳖甲,,C
252,单项选择题,中医基础理论中，下列哪项是“治未病”的核心思想（ ）,预防为主,辨证施治,调整阴阳,调和脏腑,,C
253,单项选择题,中医理论中，下列哪项不属于五行相生关系的顺序（ ）,木生火,火生土,土生金,金生水,,C
254,单项选择题,中医认为，下列哪种情况属于“痰湿内阻”（ ）,舌苔白厚腻，脉滑,舌苔薄白，脉浮数,舌苔黄腻，脉弦数,舌苔薄黄，脉细数,,A
255,单项选择题,中医学认为，下列哪项属于“六淫”之一（ ）,疲劳,风寒,精神压力,情绪波动,,B
256,单项选择题,中医治疗疾病的基本原则是（ ）,调和阴阳，疏通经络,治未病，预防为主,扶正祛邪，消除病因,根据病理变化，辨证施治,,D
257,单项选择题,中医治疗血虚证时，常加入一定量的补气药，其根据是（ ）,气能行血,气能摄血,气能生血,血能生气,,C
258,单项选择题,昼夜分阴阳，属于“阴中之阴”的时间是（ ）,前半夜,后半夜,上午,中午,,A
259,单项选择题,主宰水液代谢的是（ ）,肺,脾,三焦,肾,,D
260,单项选择题,主治外感风寒湿邪，内有蕴热证的方剂是（ ）,败毒散,九味羌活汤,羌活胜湿汤,柴葛解肌汤,,B
261,单项选择题,自汗夜卧尤甚，心悸惊惕，短气烦倦，舌淡红脉细弱者，宜用（ ）,玉屏风散,牡蛎散,当归六黄汤,桂枝汤,,B
262,单项选择题,足三阴经从开始部位至内踝上 8 寸段的分布是（ ）,厥阴在前，少阴在中，太阴在后,少阴在前，太阴在中，厥阴在后,厥阴在前，太阴在中，少阴在后,太阴在前，少阴在中，厥阴在后,,C
263,多项选择题,“大怒则形气绝，而血菀于上”的确切病机是（ ）,血随气结,肝气上逆,气机逆乱,血随气升,气随血脱,BD
264,多项选择题,拔罐出现水泡的原因可能是（ ）,留罐时间过长,皮肤敏感,体内湿气重,拔罐力度过大,局部感染,ABCD
265,多项选择题,拔罐的常见方法有（ ）,留罐法,闪罐法,走罐法,刺络拔罐法,药罐法,ABCDE
266,多项选择题,病人干咳无痰或少痰者，有哪些可能（ ）,燥邪犯肺,热邪犯肺,肺气虚损,阴虚肺燥,痰湿阻肺,AD
267,多项选择题,耳穴压豆的操作要点包括（ ）,选穴准确,胶布固定牢固,每日按压 3～5 次,单侧耳交替贴敷,皮肤破溃处禁用,ABCDE
268,多项选择题,耳穴压豆可治疗的病症包括（ ）,高血压,失眠,便秘,近视,痛经,ABCDE
269,多项选择题,肺气虚证的辨证要点是（ ）,咳嗽,呕吐,嗳气,阳虚证,气虚证,AE
270,多项选择题,扶正与祛邪兼用的原则是（ ）,扶正不留邪,先攻后补,祛邪不伤正,先补后攻,其他选项都不对,BD
271,多项选择题,根据七情分属五脏的理论，下列情志中属心所主的是（ ）,喜,怒,悲,惊,恐,AD
272,多项选择题,功能性电刺激的适应证是（ ）,脑卒中,脊髓损伤,脑瘫后的下肢、上肢运动功能障碍,下运动神经元受损,马尾或脊髓损伤后的排尿功能障碍等,ABCE
273,多项选择题,骨折已愈合，恢复关节活动范围的方法有（ ）,主动运动,助力运动与被动运动,关节活动牵引,夹板、石膏托及弹性支架,物理治疗,ABCDE
274,多项选择题,刮痧常用的介质有（ ）,凡士林,红花油,橄榄油,清水,中药药液,ABCDE
275,多项选择题,关节松动术的禁忌症包括（ ）,关节活动已经过度,外伤或疾病引起的关节肿胀（渗出增加）,关节的炎症,恶性疾病,未愈合的骨折,ABCDE
276,多项选择题,关于艾灸禁忌，正确的是（ ）,实热证忌用,孕妇腹部忌灸,大血管处忌灸,空腹时不宜艾灸,极度疲劳者忌灸,ABCDE
277,多项选择题,关于刺络拔罐，正确的是（ ）,先针刺后拔罐,适用于实证、瘀血证,出血量越多效果越好,需严格消毒防止感染,常用于带状疱疹治疗,ABDE
278,多项选择题,关于刮痧疗法，正确的是（ ）,可疏通腠理、调畅气血,宜单向刮拭，力度均匀,出痧后需立即洗澡清洁,适用于中暑、感冒等,皮肤破损处禁止刮痧,ABDE
279,多项选择题,关于穴位贴敷疗法，说法正确的是（ ）,三伏贴属于穴位贴敷,可治疗慢性疾病,皮肤过敏者慎用,贴敷时间不宜过长,需辨证选穴,ABCDE
280,多项选择题,肌力测定应做到（ ）,正确的测定姿势,防止协同肌的替代作用,左右对比检查,在运动后进行,反复两次检查,ABCE
281,多项选择题,肌力检查的禁忌症有（ ）,严重疼痛,严重关节积液红肿,关节极不稳定,软组织损伤刚愈合,骨折愈合后,ABCD
282,多项选择题,颈椎病常见分型包括（ ）,颈型,神经根型,脊髓型,椎动脉型,交感神经型,ABCDE
283,多项选择题,颈椎病的康复锻炼方法包括（ ）,米字操,颈椎牵引,平板支撑,游泳（蛙泳）,耸肩运动,ABDE
284,多项选择题,颈椎病牵引治疗的注意事项包括（ ）,选择合适的牵引重量,避免长时间连续牵引,饭后立即牵引效果更佳,牵引时保持正确体位,症状加重时需停止牵引,ABDE
285,多项选择题,六淫之中，易耗气伤津的邪气有（ ）,风邪,燥邪,暑邪,湿邪,火邪,CE
286,多项选择题,面瘫的中医治疗原则包括（ ）,祛风通络,活血化瘀,疏调经筋,补益肝肾,扶正祛邪,ACE
287,多项选择题,气的哪两种功能的相互协作，调控了体内液态物质的正常运行、分布和排泄（ ）,推动作用,温煦作用,防御作用,固摄作用,营养作用,AD
288,多项选择题,气为血之帅是指（ ）,气能生血,气能行血,气能摄血,血能载气,血能生气,ABC
289,多项选择题,切诊包括（ ）,问诊,按诊,脉诊,拍诊,闻诊,BC
290,多项选择题,软组织急性化脓性感染的早期浸润阶段，采用紫外线照射，一般采用（ ）,亚红斑量,红斑量,超红斑量,弱红斑量,微热量,ACD
291,多项选择题,肾中所藏之精的两个来源是（ ）,先天之精,水谷精微,脏腑精气,后天之精,宗气,AD
292,多项选择题,推拿治疗肩关节周围炎的手法包括（ ）,揉法,扳法,摇法,弹拨法,搓法,ABCDE
293,多项选择题,推拿治疗小儿疳积的常用手法有（ ）,补脾经,推三关,揉板门,捏脊,摩腹,ABCDE
294,多项选择题,推拿治疗腰腿痛时，常用的穴位有（ ）,委中,承山,环跳,阳陵泉,风池,ABCD
295,多项选择题,推拿治疗中，“拿法”的作用包括（ ）,疏通经络,解表发汗,开窍醒神,调和气血,松解粘连,ABCDE
296,多项选择题,推拿中的“振法”特点包括（ ）,快速振动,力量渗透,频率恒定,多用于胸腹部,可调节胃肠功能,ABCDE
297,多项选择题,歪斜舌的形成原因是（ ）,肝风夹痰,气血两虚,痰瘀阻络,阴虚火旺,其他选项都不对,AC
298,多项选择题,五脏分阴阳，以其功能特点而言，属阳的有（ ）,心,肝,脾,肺,肾,AB
299,多项选择题,下列关于艾灸的说法正确的是（ ）,温经散寒,扶阳固脱,以艾绒为主要材料,适用于阴虚火旺体质,可分为悬灸、隔物灸等,ABCE
300,多项选择题,下列可用于治疗失眠的穴位有（ ）,神门,三阴交,百会,涌泉,足三里,ABCD
301,多项选择题,下列可用于治疗胃痛的穴位有（ ）,中脘,足三里,内关,梁丘,三阴交,ABCD
302,多项选择题,下列哪几项是常见的气逆证（ ）,胃气上逆,肾气上逆,肺气上逆,脾气上逆,心气上逆,AC
303,多项选择题,下列属于补法推拿手法特点的是（ ）,频率快,力度轻,时间长,刺激弱,方向向心,BCDE
304,多项选择题,下列属于补气血的穴位是（ ）,气海,血海,足三里,关元,三阴交,ABCDE
305,多项选择题,下列属于温经通络的理疗方法是（ ）,艾灸,中药热敷,红外线照射,刺络放血,推拿点穴,ABCE
306,多项选择题,下列属于温里类中药的是（ ）,附子,肉桂,干姜,黄连,细辛,ABCE
307,多项选择题,下列属于泻法针刺手法的是（ ）,提插补泻中的重插轻提,捻转补泻中的右转用力重,徐疾补泻中的疾出徐入,开阖补泻中的出针后揉按针孔,呼吸补泻中的吸气时进针,BCE
308,多项选择题,下列属于中医“八法”的是（ ）,汗法,吐法,下法,和法,温法,ABCDE
309,多项选择题,下列属于中医“治未病”思想的是（ ）,未病先防,既病防变,愈后防复,急则治标,缓则治本,ABC
310,多项选择题,下述哪几项属于望舌形的内容（ ）,歪斜,痿软,胖大,齿痕,短缩,"C,D"
311,多项选择题,腰椎间盘突出症的常见症状有（ ）,腰痛,下肢放射性疼痛,间歇性跛行,下肢麻木,大小便失禁,ABCDE
312,多项选择题,以下病邪，属于阳邪的有（ ）,风邪,寒邪,暑邪,湿邪,燥邪,ACE
313,多项选择题,以下何脏腑与水液代谢有关（ ）,肺,脾,肾,三焦,膀胱,ABCDE
314,多项选择题,以下属于经络系统组成的是（ ）,十二经脉,奇经八脉,十五别络,十二经筋,十二皮部,ABCDE
315,多项选择题,以下属于气的升降失常的是（ ）,气滞,气逆,气脱,气闭,气陷,BE
316,多项选择题,以下属于祛湿类中药的是（ ）,茯苓,薏苡仁,苍术,黄芪,泽泻,ABCE
317,多项选择题,以下属于中医外治法的是（ ）,针灸疗法,中药内服,推拿按摩,拔罐疗法,艾灸疗法,ACDE
318,多项选择题,以下在五行中属木的是（ ）,筋,脉,肉,目,胆,ADE
319,多项选择题,抑木补土法是常用于哪两脏的治法（ ）,心,肺,肝,肾,脾,CE
320,多项选择题,忧伤过度则易（ ）,伤肺,伤肝,气下,气上,气结,AE
321,多项选择题,有悖中医理论观点的提法是（ ）,肺阴是五脏之阴的根本,脾胃为气血生化之源,心是五脏之大主,“肝受血而能视”,肾为气之主,AE
322,多项选择题,与肺通调水道功能直接相关的是（ ）,肺主呼吸之气,肺主一身之气,肺气宣发,肺气肃降,肺朝百脉,CD
323,多项选择题,与气的生成关系密切的脏是（ ）,心,肝,脾,肺,肾,CDE
324,多项选择题,与血液运行关系密切的脏是（ ）,心,肝,脾,肺,肾,BCD
325,多项选择题,运动疗法相对的禁忌症是（ ）,感染性疾病,发热,器官功能失代偿,严重衰弱,关节功能障碍,ABCD
326,多项选择题,在药食五味中，属于阴的味是（ ）,辛,甘,酸,苦,咸,CDE
327,多项选择题,针灸的禁忌证包括（ ）,孕妇腹部穴位,皮肤感染处,饥饿、疲劳状态,严重出血倾向者,高热惊厥患者,ABCD
328,多项选择题,针灸治疗原则包括（ ）,补虚泻实,清热温寒,治病求本,三因制宜,调和阴阳,ABCDE
329,多项选择题,诊察头发可以判断（ ）,肝的病变,肾气充足与否,精血的盛衰,津液的盛衰,病邪的性质,BC
330,多项选择题,治疗便秘的常用穴位有（ ）,天枢,支沟,足三里,上巨虚,照海,ABCDE
331,多项选择题,治疗眩晕的常用穴位有（ ）,风池,百会,太冲,内关,丰隆,ABCDE
332,多项选择题,中药泡脚的作用有（ ）,促进血液循环,改善睡眠,缓解疲劳,治疗皮肤病,调节脏腑功能,ABCE
333,多项选择题,中药熏蒸的作用包括（ ）,祛风除湿,消肿止痛,温通经络,清热解毒,调节气血,ABCE
334,多项选择题,中药足浴常用的药材有（ ）,艾叶,花椒,红花,当归,生姜,ABCDE
335,多项选择题,中医“六淫”致病因素包括（ ）,风,寒,暑,湿,燥、火,ABCDE
336,多项选择题,中医“四诊”的内容包括（ ）,望诊,闻诊,问诊,切诊,触诊,ABCD
337,多项选择题,中医理疗中，“八纲辨证”的内容包括（ ）,阴阳,表里,寒热,虚实,气血,ABCD
338,多项选择题,中医认为，导致痹症的病因有（ ）,风邪,寒邪,湿邪,热邪,正气不足,ABCDE
339,多项选择题,中医认为，肥胖的病因包括（ ）,痰湿内盛,脾胃虚弱,肝郁气滞,脾肾阳虚,瘀血阻滞,ABCDE
340,多项选择题,中医认为，失眠的病因包括（ ）,肝郁化火,心脾两虚,阴虚火旺,痰热内扰,胃气不和,ABCDE
341,多项选择题,中医推拿中的“滚法”适用于（ ）,颈项部,肩背部,四肢部,胸腹部,腰骶部,ABCE
342,判断题,“除中”亦属假神的一种表现。（ ）,,,,,,对
343,判断题,“治未病”思想是中医全科医学的重要理念。（ ）,,,,,,对
344,判断题,艾灸的主要材料是艾草，燃烧时产生的热量和药力可温通经络。（ ）,,,,,,对
345,判断题,艾灸关元穴具有温补肾阳、培元固本的功效。（ ）,,,,,,对
346,判断题,艾灸时距离皮肤越近，温度越高，疗效越好。（ ）,,,,,,错
347,判断题,艾灸足三里穴可以起到健脾和胃、扶正培元的作用。（ ）,,,,,,对
348,判断题,按摩百会穴有升阳固脱、开窍醒脑的功效。（ ）,,,,,,对
349,判断题,按摩风池穴可以缓解颈部不适、改善头部血液循环。（ ）,,,,,,对
350,判断题,按摩合谷穴常用于治疗头痛、牙痛等头面部病症。（ ）,,,,,,对
351,判断题,按摩天枢穴可以起到调理肠胃、促进消化的作用。（ ）,,,,,,对
352,判断题,拔罐后皮肤出现水泡，说明体内湿气较重，无需特殊处理。（ ）,,,,,,错
353,判断题,拔罐后皮肤颜色越黑紫，说明体内病邪越重。（ ）,,,,,,对
354,判断题,拔罐疗法能够改善局部血液循环，增强人体免疫力。（ ）,,,,,,对
355,判断题,拔罐只能使用火罐，其他方式都不属于正规拔罐疗法。（ ）,,,,,,错
356,判断题,白苔主寒证，亦可见于外感温热病中。（ ）,,,,,,对
357,判断题,肠鸣非皆属病态。（ ）,,,,,,对
358,判断题,除儿童外其他人不需补钙。（ ）,,,,,,错
359,判断题,大便溏结不调，应属消化不良所致。（ ）,,,,,,错
360,判断题,但见手足厥冷，即可诊为寒证。（ ）,,,,,,错
361,判断题,盗汗不尽为阴虚，自汗非皆属阳虚。（ ）,,,,,,对
362,判断题,电疗仪使用前不需要检查设备是否正常。（ ）,,,,,,错
363,判断题,电针疗法是将针刺与电刺激相结合，刺激强度越大越好。（ ）,,,,,,错
364,判断题,耳穴放血疗法可以治疗耳部局部病症及全身相关病症。（ ）,,,,,,对
365,判断题,耳穴贴压可以治疗全身多种疾病，耳部的穴位对应着人体各个器官。（ ）,,,,,,对
366,判断题,刮痧方向一般是从上向下、从内向外刮拭。（ ）,,,,,,对
367,判断题,刮痧后可以立即洗澡，保持皮肤清洁。（ ）,,,,,,错
368,判断题,刮痧可以随意在身体任何部位进行，以出痧为主要目的。（ ）,,,,,,错
369,判断题,寒热并见必是外感病表证无疑。（ ）,,,,,,错
370,判断题,近亲结婚生育的孩子容易得遗传性疾病。（ ）,,,,,,对
371,判断题,经络气血不足时，采用补法推拿可以促进气血生成。（ ）,,,,,,对
372,判断题,经络是运行气血、联络脏腑形体官窍、沟通内外上下的通道。（ ）,,,,,,对
373,判断题,经络系统中，经别是从十二经脉别出的重要分支。（ ）,,,,,,对
374,判断题,理疗过程中，患者出现头晕、心慌等不适症状，应立即停止并采取相应措施。（ ）,,,,,,对
375,判断题,临床上短缩舌与痿软舌最易同见。（ ）,,,,,,对
376,判断题,人体的督脉被称为“阳脉之海”，统领一身之阳经。,,,,,,对
377,判断题,人体的任脉被称为“阴脉之海”，总任一身之阴经。,,,,,,对
378,判断题,人体的十二经脉与脏腑直接相连，表里经之间相互络属。（ ）,,,,,,对
379,判断题,任何部位的皮肤破损都不适合进行中医外治理疗。（ ）,,,,,,对
380,判断题,三伏贴适用于所有人群，是一种万能的养生保健方法。（ ）,,,,,,错
381,判断题,身体没病就是健康。（ ）,,,,,,错
382,判断题,所有的疼痛症状都可以通过推拿进行快速缓解。（ ）,,,,,,错
383,判断题,糖尿病的三多一少症状是指：吃得多，喝得多，尿得多及体重减少。（ ）,,,,,,对
384,判断题,推拿手法的频率快慢不影响治疗效果。（ ）,,,,,,错
385,判断题,推拿手法中，揉法是用手指或手掌在体表做环形转动摩擦。（ ）,,,,,,对
386,判断题,推拿治疗时，力度越大、时间越长，治疗效果就越好。（ ）,,,,,,错
387,判断题,推拿中的滚法主要用手背近小指侧部分或小指、无名指、中指的掌指关节突起部分在,,,,,,对
388,判断题,推拿中的拿法主要作用是疏通经络、解表发汗、镇静止痛。（ ）,,,,,,对
389,判断题,望神，就是望人之精神意识、思维活动是否正常。（ ）,,,,,,错
390,判断题,瘀血与血瘀证概念相同。（ ）,,,,,,错
391,判断题,遇到触电溺水等意外事故或严重疾病而引起呼吸，心跳停止时，进行心肺复苏是有效,,,,,,对
392,判断题,针刺得气是指进针后产生酸、麻、胀、重等感觉，是针刺有效的表现。（ ）,,,,,,对
393,判断题,针刺的针具可以重复使用，只要做好消毒即可。（ ）,,,,,,错
394,判断题,针灸疗法中，针刺的深度和角度会影响治疗效果和安全性。（ ）,,,,,,对
395,判断题,中药灌肠疗法主要用于治疗肠道疾病，对其他疾病无效。（ ）,,,,,,错
396,判断题,中药泡脚时，水温越高，泡脚时间越长，效果越好。（ ）,,,,,,错
397,判断题,中药热敷包可以反复使用，直到没有药效为止。（ ）,,,,,,错
398,判断题,中药熏蒸的温度和时间应根据患者的耐受程度和病情进行调整。（ ）,,,,,,对
399,判断题,中药熏蒸疗法能通过皮肤吸收药物，起到温通气血、祛湿散寒的作用。（ ）,,,,,,对
400,判断题,中医理疗可以替代药物治疗和手术治疗。（ ）,,,,,,错
401,判断题,中医理疗中，热疗都适合于热性病症的治疗。（ ）,,,,,,错
402,判断题,中医全科理疗可以根据每个人的体质和病症进行个性化治疗。（ ）,,,,,,对
403,判断题,中医全科理疗师在治疗前不需要了解患者的过敏史。（ ）,,,,,,错
404,判断题,中医全科医疗的重点是治疗疑难重症。（ ）,,,,,,错
405,判断题,中医全科医疗中，中药治疗是唯一的治疗方法。（ ）,,,,,,错
406,判断题,中医全科医生在疾病诊断中主要依靠仪器检查。（ ）,,,,,,错
407,判断题,中医全科医生只需要掌握中医知识，不需要了解西医知识。（ ）,,,,,,错
408,判断题,中医认为“通则不痛，痛则不通”，经络气血通畅是人体健康的重要基础。,,,,,,对
409,判断题,足部按摩时，如果发现有疼痛点，就代表对应的脏腑有病变。（ ）,,,,,,错
410,判断题,足部反射区按摩可以调节相应脏腑的功能，改善身体状况。（ ）,,,,,,对
